Entity1_id,Entity1_name,Entity1_type,Entity2_id,Entity2_name,Entity2_type,Evidence,Association,PK,PD,PMIDs,,,,,,
PA443560,Breast Neoplasms,Disease,PA254,NOS3,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,19671875,,,,,
PA443560,Breast Neoplasms,Disease,PA25411,BRCA1,Gene,Vip,associated,,,10208417;11034065;11896095;12237281;12237282;7545954;7825587;7837387;8460634;8533757;9145676;9333265,,,,,,
PA443560,Breast Neoplasms,Disease,PA25814,SETD4,Gene,VariantAnnotation,associated,PK,PD,19016765,,,,,,
PA443560,Breast Neoplasms,Disease,PA26121,CBR1,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,19016765;19022938,,,,,
PA443560,Breast Neoplasms,Disease,PA26122,CBR3,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,18551042,,,,,
PA443560,Breast Neoplasms,Disease,PA26551,CLCN6,Gene,VariantAnnotation,associated,,PD,20638924,,,,,,
PA443560,Breast Neoplasms,Disease,PA27091,CYP19A1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18245543;20048079;24590773,,,,,
PA443560,Breast Neoplasms,Disease,PA27092,CYP1A1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22426923,,,,,
PA443560,Breast Neoplasms,Disease,PA27821,EPHA5,Gene,VariantAnnotation,associated,,PD,22843789,,,,,,
PA443560,Breast Neoplasms,Disease,PA27844,ERBB2,Gene,ClinicalAnnotation,associated,,PD,17693647,,,,,,
PA443560,Breast Neoplasms,Disease,PA28063,FCGR2A,Gene,VariantAnnotation,associated,,PD,21109570,,,,,,
PA443560,Breast Neoplasms,Disease,PA28065,FCGR3A,Gene,VariantAnnotation,associated,,PD,21109570,,,,,,
PA443560,Breast Neoplasms,Disease,PA28128,FGFR2,Gene,VariantAnnotation,associated,,PD,22144180,,,,,,
PA443560,Breast Neoplasms,Disease,PA28130,FGFR4,Gene,VariantAnnotation,associated,,PD,16822847,,,,,,
PA443560,Breast Neoplasms,Disease,PA28458,FZD3,Gene,VariantAnnotation,associated,,PD,22843789,,,,,,
PA443560,Breast Neoplasms,Disease,PA29698,IGF1R,Gene,VariantAnnotation,associated,,PD,23459444,,,,,,
PA443560,Breast Neoplasms,Disease,PA30612,MAP4K4,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,25148458,,,,,
PA443560,Breast Neoplasms,Disease,PA31744,NQO1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,10208650;11160862;11222389;12370763;18511948;21479364;21946896;24533712,,,,,
PA443560,Breast Neoplasms,Disease,PA31745,NQO2,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,21946896,,,,,
PA443560,Breast Neoplasms,Disease,PA34862,RRAS2,Gene,VariantAnnotation,associated,,PD,19047159,,,,,,
PA443560,Breast Neoplasms,Disease,PA36017,SOD2,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,19509150,,,,,
PA443560,Breast Neoplasms,Disease,PA36400,TCL1A,Gene,VariantAnnotation,associated,,PD,23546553,,,,,,
PA443560,Breast Neoplasms,Disease,PA36679,TP53,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18357466;19052714;19786980;20638924;22188361,,,,,
PA443560,Breast Neoplasms,Disease,PA37301,VDR,Gene,Vip,associated,,,10680726;15328186;16214913,,,,,,
PA443560,Breast Neoplasms,Disease,PA38100,TUBB1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,,25148458,,,,,
PA443560,Breast Neoplasms,Disease,PA397,ABCC4,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,19696793,,,,,
PA443560,Breast Neoplasms,Disease,PA426,SLC28A3,Gene,VariantAnnotation,associated,,PD,24361227,,,,,,
PA443560,Breast Neoplasms,Disease,PA75,CCND1,Gene,VariantAnnotation,associated,,PD,21989330,,,,,,
PA445850,Thrombosis,Disease,PA124,CYP2C19,Gene,ClinicalAnnotation,Literature,VariantAnnotation,associated,PK,PD,16772608;17697139;17900275;18004210;18323861;18346178;18482659;18532997;18577829;19106083;19106084;19108880;19193675;19463375;19531897;19576320;19624462;19706858;19934793;20351750;20492469;20510210;20620727;20650435;20708365;20724801;20801494;20801498;20845077;20877456;20924183;20978260;20979470;21099121;21163112;21168310;21178986;21392617;21426546;21474982;21527445;21628721;21689142;21700758;21786436;21806387;21831410;21881565;21918510;21972404;22028352;22088980;22190063;22228204;22374717;22427735;22462746;22464343;22624833;22940005;22955794;22990067;23001453;23150151;23364775;23429358;23640828;23692149;23809542;24019397;24019752;24508947,,,,
PA445850,Thrombosis,Disease,PA159,F5,Gene,ClinicalAnnotation,Literature,Vip,associated,,PD,10195931;10666427;10702702;11406725;12069454;12877676;14574075;14660985;15208046;15534175;15946211;15947254;16503463;16769590;24949630;7877648;7968118;8553401;8581514;9108400;9531249,,,,
PA445850,Thrombosis,Disease,PA205,ITGB3,Gene,VariantAnnotation,associated,,PD,22028352,,,,,,
PA445850,Thrombosis,Disease,PA267,ABCB1,Gene,VariantAnnotation,associated,,PD,22028352,,,,,,
PA445850,Thrombosis,Disease,PA293,PTGS2,Gene,Vip,associated,,,,,,,,,
PA445850,Thrombosis,Disease,PA327,SLC19A1,Gene,Vip,associated,,,15964598,,,,,,
PA447321,Depressive Disorder, Major,Disease,PA134882361,REEP5,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22795047,,,,
PA447321,Depressive Disorder, Major,Disease,PA134887081,COL26A1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22760553,,,,
PA447321,Depressive Disorder, Major,Disease,PA134914395,PAPLN,Gene,VariantAnnotation,associated,,PD,19724244,,,,,
PA447321,Depressive Disorder, Major,Disease,PA134916697,RFK,Gene,VariantAnnotation,associated,,PD,22907730,,,,,
PA447321,Depressive Disorder, Major,Disease,PA145008433,METTL21A,Gene,VariantAnnotation,associated,,PD,17548750;20643483,,,,,
PA447321,Depressive Disorder, Major,Disease,PA162382924,CUX1,Gene,VariantAnnotation,associated,,PD,22584459,,,,,
PA447321,Depressive Disorder, Major,Disease,PA162395090,MDGA2,Gene,VariantAnnotation,associated,,PD,22445761,,,,,
PA447321,Depressive Disorder, Major,Disease,PA180,GRK5,Gene,VariantAnnotation,associated,,PD,22907730,,,,,
PA447321,Depressive Disorder, Major,Disease,PA24580,ADM,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,19636336,,,,
PA447321,Depressive Disorder, Major,Disease,PA25382,BMP5,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23926243,,,,
PA447321,Depressive Disorder, Major,Disease,PA261,SERPINE1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18794724,,,,
PA447321,Depressive Disorder, Major,Disease,PA26649,SBF2,Gene,VariantAnnotation,associated,,PD,19636336,,,,,
PA447321,Depressive Disorder, Major,Disease,PA26874,CRHR1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,17258395;17467808,,,,
PA447321,Depressive Disorder, Major,Disease,PA26875,CRHR2,Gene,VariantAnnotation,associated,,PD,17467808,,,,,
PA447321,Depressive Disorder, Major,Disease,PA27478,DRD2,Gene,VariantAnnotation,associated,,PD,22796099,,,,,
PA447321,Depressive Disorder, Major,Disease,PA27479,DRD3,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22926616,,,,
PA447321,Depressive Disorder, Major,Disease,PA28494,GABRA6,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23394390,,,,
PA447321,Depressive Disorder, Major,Disease,PA28503,GABRP,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23394390,,,,
PA447321,Depressive Disorder, Major,Disease,PA28504,GABRQ,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23394390,,,,
PA447321,Depressive Disorder, Major,Disease,PA28529,GAL,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20237460,,,,
PA447321,Depressive Disorder, Major,Disease,PA28644,GDNF,Gene,VariantAnnotation,associated,,PD,24577123,,,,,
PA447321,Depressive Disorder, Major,Disease,PA28716,GLDC,Gene,VariantAnnotation,associated,,PD,21107318,,,,,
PA447321,Depressive Disorder, Major,Disease,PA28968,GRIA3,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23394390,,,,
PA447321,Depressive Disorder, Major,Disease,PA28976,GRIK4,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,17671280;19924111;23394390;25303296,,,,
PA447321,Depressive Disorder, Major,Disease,PA29009,GSK3B,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18195729,,,,
PA447321,Depressive Disorder, Major,Disease,PA30673,MC1R,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,21052032,,,,
PA447321,Depressive Disorder, Major,Disease,PA33886,PSMB4,Gene,VariantAnnotation,associated,,,18504423,,,,,
PA447321,Depressive Disorder, Major,Disease,PA34630,RORA,Gene,VariantAnnotation,associated,,PD,19846067,,,,,
PA447321,Depressive Disorder, Major,Disease,PA34925,SACM1L,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22041458,,,,
PA447321,Depressive Disorder, Major,Disease,PA35,ADRA2A,Gene,VariantAnnotation,associated,,PD,19641488,,,,,
PA447321,Depressive Disorder, Major,Disease,PA36124,SRP19,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22795047,,,,
PA447321,Depressive Disorder, Major,Disease,PA36362,TBX21,Gene,VariantAnnotation,associated,,,18504423,,,,,
PA447321,Depressive Disorder, Major,Disease,PA38213,UST,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20360315,,,,
PA447321,Depressive Disorder, Major,Disease,PA38302,TXNRD2,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20877297,,,,
PA447321,Depressive Disorder, Major,Disease,PA83,CACNA1C,Gene,VariantAnnotation,associated,,PD,19388002,,,,,
PA128406954,Weight gain,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,11901361,,,,,,
PA165374639,suicide,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,,19907421,,,,,,
PA166048829,Elderly Adult,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,,24858822,,,,,,
PA166123306,agitation,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,23526481,,,,,,
PA166123307,insomnia,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,23526481,,,,,,
PA443319,Alzheimer Disease,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,24433464,,,,,
PA443355,Anemia, Sickle Cell,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,PD,17517247;19357842,,,,,
PA443421,Arrhythmias, Cardiac,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,12421483;14653957;16508157;16944116;22718623;22941032,,,,
PA443472,Back Pain,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,PD,19308365,,,,,,
PA443842,Death,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,PD,22492761;23570465,,,,,,
PA443894,Diabetic Neuropathies,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,PD,1531951;2293406,,,,,,
PA443899,Diarrhea,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,associated,PK,PD,16642541;16958828,,,,,,
PA443937,Drug Toxicity,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,16642541;16958828;17721180,,,,,
PA444065,Epilepsy,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,,24915025,,,,,,
PA444368,Heart Diseases,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,,16595916;17329852,,,,,
PA444684,Kidney Failure, Chronic,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,PK,,19940985,,,,,
PA445048,Nausea,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,associated,PK,PD,16642541;16958828,,,,,,
PA445208,Pain,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,12438554;12893130;12920424;14499440;14624403;15625333;16368820;16631290;16819548;16920476;17361124;17470523;17517247;17986163;18204346;18713907;18719619;18838503;19281600;19308365;19395173;19514130;19692698;19719813;19940985;20456744;20590588;21691803;21735164;21743374;22398969;22492761;24077935;8803381;8823235;8988065;9129563;9357099;9415713,,,,,
PA445371,Poisoning,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,18359183,,,,,,
PA445506,Recurrence,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,18024866;22623212,,,,,,
PA445522,Respiratory Insufficiency,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,18713907;23748253,,,,,,
PA445768,Substance Withdrawal Syndrome,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,11207233,,,,,,
PA446051,Vomiting,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,associated,PK,PD,16642541;16958828,,,,,,
PA446852,Hot Flashes,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,16361630,,,,,,
PA446956,Serotonin Syndrome,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,24096103,,,,,,
PA447196,Anxiety Disorders,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,,23437966,,,,,,
PA447209,Mood Disorders,Disease,PA128,CYP2D6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,10208643;10583026;11386497;12172336;12404686;12438554;14639062;14652703;14716707;14726986;15205367;15590749;16024198;16236141;17008819;17470523;17764479;18070221;18359183;20531370;21614669;22733128;22775532;23545896;3571939;8941024,,,,,
PA447268,tardive dyskinesia,Disease,PA128,CYP2D6,Gene,VariantAnnotation,associated,,PD,16490169,,,,,,
PA165108401,Acute coronary syndrome,Disease,PA39,ADRB2,Gene,Vip,associated,,,16189366,,,,,,
PA443796,Coronary Artery Disease,Disease,PA39,ADRB2,Gene,Vip,associated,,,16189366;18534365;18615004;18940527,,,,,,
PA447216,Schizophrenia,Disease,PA39,ADRB2,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,22212732,,,,,
PA444606,Erectile Dysfunction,Disease,PA37302,VEGFA,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23007311,,,,,
PA446974,Choroidal Neovascularization,Disease,PA37302,VEGFA,Gene,VariantAnnotation,associated,,PD,23953100,,,,,,
PA443434,Arthritis, Rheumatoid,Disease,PA28063,FCGR2A,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,24667440,,,,
PA446108,Colorectal Neoplasms,Disease,PA28063,FCGR2A,Gene,VariantAnnotation,associated,,PD,23296156,,,,,,
PA160680212,Lymphoma, Large B-Cell, Diffuse,Disease,PA28065,FCGR3A,Gene,VariantAnnotation,associated,,PD,16609067,,,,
PA165817016,Kidney Transplantation,Disease,PA28065,FCGR3A,Gene,VariantAnnotation,associated,,,24322002,,,,,,
PA443434,Arthritis, Rheumatoid,Disease,PA28065,FCGR3A,Gene,VariantAnnotation,associated,,PD,19005160;23505228,,,,,
PA444841,Lymphoma, Follicular,Disease,PA28065,FCGR3A,Gene,ClinicalAnnotation,associated,,PD,12975461;16609067;19018870,,,,,
PA444845,Lymphoma, Non-Hodgkin,Disease,PA28065,FCGR3A,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,12975461;16609067;19018870,,,,
PA446304,Lymphoma, B-Cell,Disease,PA28065,FCGR3A,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,12975461;16609067;19018870;21900198,,,,
PA446313,Lymphoma, Large-Cell, Diffuse,Disease,PA28065,FCGR3A,Gene,ClinicalAnnotation,associated,,PD,12975461;16609067;19018870,,,,
PA444818,Lung Neoplasms,Disease,PA113,CHRNA3,Gene,VariantAnnotation,associated,,,18385676;18385739,,,,,,
PA444818,Lung Neoplasms,Disease,PA165478483,AGPHD1,Gene,VariantAnnotation,associated,,,18385676,,,,,,
PA444818,Lung Neoplasms,Disease,PA24684,AKT1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20447721,,,,,
PA444818,Lung Neoplasms,Disease,PA26711,COL18A1,Gene,VariantAnnotation,associated,,PD,19841321,,,,,,
PA444818,Lung Neoplasms,Disease,PA27699,EIF3A,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23127338,,,,,
PA444818,Lung Neoplasms,Disease,PA31744,NQO1,Gene,Vip,associated,,,16170238,,,,,,
PA444818,Lung Neoplasms,Disease,PA327,SLC19A1,Gene,VariantAnnotation,associated,,PD,19841321,,,,,,
PA444818,Lung Neoplasms,Disease,PA33942,PTEN,Gene,VariantAnnotation,associated,,PD,20447721,,,,,,
PA444818,Lung Neoplasms,Disease,PA35061,HLA-DOB,Gene,VariantAnnotation,associated,,PD,24755914,,,,,,
PA444818,Lung Neoplasms,Disease,PA390,ABCG2,Gene,VariantAnnotation,associated,,PD,17148776,,,,,,
PA444818,Lung Neoplasms,Disease,PA432,GGH,Gene,VariantAnnotation,associated,,PD,19841321,,,,,,
PA444818,Lung Neoplasms,Disease,PA7360,EGFR,Gene,Vip,associated,,,,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA116,ABCC2,Gene,VariantAnnotation,associated,,PD,22868256,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA125,CYP2C8,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20212519,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA131,CYP3A5,Gene,VariantAnnotation,associated,,PD,20212519,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA244,ABCC1,Gene,VariantAnnotation,associated,,PD,22868256,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA24468,ACTG1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,25084203,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA25302,BCL2,Gene,VariantAnnotation,associated,,PD,23963862,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA26056,CAPG,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,25084203,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA31945,OPRM1,Gene,VariantAnnotation,associated,,PD,23963862,,,,,,
PA446975,Neurotoxicity Syndromes,Disease,PA36027,SOX10,Gene,VariantAnnotation,associated,,PD,23963862,,,,,,
PA447216,Schizophrenia,Disease,PA134907818,NUBPL,Gene,VariantAnnotation,associated,,PD,18521091,,,,,,
PA447300,Acquired Long QT Syndrome (aLQTS),Disease,PA134907818,NUBPL,Gene,ClinicalAnnotation,associated,,PD,18521091,,,,,,
PA443430,Arthritis,Disease,PA36593,TNFAIP3,Gene,VariantAnnotation,associated,,PD,20921970,,,,,,
PA445742,Stomach Neoplasms,Disease,PA121,CYP2A6,Gene,VariantAnnotation,associated,PK,PD,12042667;19604090,,,,,,
PA445742,Stomach Neoplasms,Disease,PA134897613,ENOSF1,Gene,VariantAnnotation,associated,,PD,23263912,,,,,,
PA445742,Stomach Neoplasms,Disease,PA145,DPYD,Gene,VariantAnnotation,associated,,PD,18537153,,,,,,
PA445742,Stomach Neoplasms,Disease,PA164727568,WRAP53,Gene,VariantAnnotation,associated,,PD,18357466,,,,,,
PA445742,Stomach Neoplasms,Disease,PA25411,BRCA1,Gene,Vip,associated,,,12237282,,,,,,
PA445742,Stomach Neoplasms,Disease,PA29705,IGFBP3,Gene,VariantAnnotation,associated,,PD,20860465,,,,,,
PA445742,Stomach Neoplasms,Disease,PA36679,TP53,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18357466;19052714;19786980;20638924;22188361,,,,,
PA445742,Stomach Neoplasms,Disease,PA37422,XRCC3,Gene,VariantAnnotation,associated,,PD,18335219,,,,,,
PA445742,Stomach Neoplasms,Disease,PA7360,EGFR,Gene,VariantAnnotation,associated,,PD,23816762,,,,,,
PA443933,Down Syndrome,Disease,PA245,MTHFR,Gene,Vip,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA24456,ACTA2,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA28016,FBN1,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA30526,SMAD3,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA31367,MYH11,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA31388,MYLK,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA36485,TGFBR1,Gene,Annotation,associated,,,,,,,,,
PA161907438,Thoracic Aortic Aneurysms and Dissections (TAAD),Disease,PA36486,TGFBR2,Gene,Annotation,associated,,,,,,,,,
PA445941,Tuberculosis,Disease,PA107,CES1,Gene,VariantAnnotation,associated,,PD,20195289,,,,,,
PA445941,Tuberculosis,Disease,PA123,CYP2B6,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,,20338069;22471906;24293076;24477223;24492364,,,,,
PA445941,Tuberculosis,Disease,PA134865839,SLCO1B1,Gene,VariantAnnotation,associated,PK,PD,21709081,,,,,,
PA445941,Tuberculosis,Disease,PA164724093,NOS2,Gene,VariantAnnotation,associated,,PD,22341855,,,,,,
PA445941,Tuberculosis,Disease,PA25234,BACH1,Gene,VariantAnnotation,associated,,PD,22341855,,,,,,
PA445941,Tuberculosis,Disease,PA267,ABCB1,Gene,VariantAnnotation,associated,PK,PD,19686464,,,,,,
PA445941,Tuberculosis,Disease,PA27535,DUX1,Gene,VariantAnnotation,associated,,PD,21261721,,,,,,
PA445941,Tuberculosis,Disease,PA30540,MAFK,Gene,VariantAnnotation,associated,,PD,22341855,,,,,,
PA445941,Tuberculosis,Disease,PA35066,HLA-DQA1,Gene,VariantAnnotation,associated,,PD,12359646,,,,,,
PA445941,Tuberculosis,Disease,PA35068,HLA-DQB1,Gene,VariantAnnotation,associated,,PD,12359646,,,,,,
PA445941,Tuberculosis,Disease,PA37301,VDR,Gene,Vip,associated,,,10696983;15141734;15478069,,,,,,
PA445941,Tuberculosis,Disease,PA37418,XPO1,Gene,VariantAnnotation,associated,,PD,22341855,,,,,,
PA445941,Tuberculosis,Disease,PA435,TNF,Gene,VariantAnnotation,associated,,PD,22151084,,,,,,
PA447199,Bipolar Disorder,Disease,PA355,TPH1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,21047205,,,,,
PA445846,Thrombocytopenia,Disease,PA432,GGH,Gene,VariantAnnotation,associated,,PD,16999998,,,,,,
PA446155,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Disease,PA432,GGH,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,15284538;16999998,,,,,
PA164925725,Toxic liver disease,Disease,PA435,TNF,Gene,VariantAnnotation,associated,,PD,22151084,,,,,,
PA165108401,Acute coronary syndrome,Disease,PA435,TNF,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18997459,,,,,
PA165817016,Kidney Transplantation,Disease,PA435,TNF,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,18444945,,,,,
PA166114454,transplant rejection,Disease,PA435,TNF,Gene,VariantAnnotation,associated,,PD,18444945,,,,,,
PA443815,Crohn Disease,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,16909270;19365401;24192118,,,,,,
PA443936,Drug Hypersensitivity,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,16998491,,,,,,
PA444546,Hypersensitivity,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,11294926,,,,,,
PA445451,Psoriasis,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,16909270;19365401;24192118,,,,,,
PA445724,Spondylitis, Ankylosing,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,16909270;19365401;24192118,,,,,
PA446198,Arthritis, Psoriatic,Disease,PA435,TNF,Gene,ClinicalAnnotation,associated,,PD,16909270;19365401;24192118,,,,,
PA447230,HIV,Disease,PA435,TNF,Gene,VariantAnnotation,associated,,PD,20887379,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA162375571,ACTC1,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA231,LMNA,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA28707,GLA,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA31351,MYBPC3,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA31374,MYH7,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA31380,MYL2,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA31381,MYL3,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA33752,PRKAG2,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA36636,TNNI3,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA36638,TNNT2,Gene,Annotation,associated,,,,,,,,
PA443632,Cardiomyopathy, Dilated,Disease,PA36690,TPM1,Gene,Annotation,associated,,,,,,,,
